word,POS-tag
застывшая,VERB
вулканическая,ADJ
лава,NOUN
большой,ADJ
черной,ADJ
рекой,NOUN
",",PUNCT
словно,ADV
змея,NOUN
сползает,VERB
в,ADP
океан,NOUN
",",PUNCT
преграждая,VERB
все,NUM
дороги,NOUN
",",PUNCT
и,CCONJ
образуя,VERB
причудливую,ADJ
береговую,ADJ
линию,NOUN
.,PUNCT
В,ADP
том,DET
месте,NOUN
",",PUNCT
где,PRON
лава,NOUN
попадает,VERB
в,ADP
океан,NOUN
",",PUNCT
в,ADP
воздух,NOUN
поднимается,VERB
пар,NOUN
и,CCONJ
образуются,VERB
красивые,ADJ
арки,NOUN
.,PUNCT
Кажется,VERB
",",PUNCT
как,SCONJ
будто,SCONJ
ты,PRON
стоишь,VERB
на,ADP
краю,NOUN
земли,NOUN
